0,Škrobović,Pantelija,2001-01-12,+38161706971,skrobovic.ra.0.2021@uns.ac.rs,2,S,RA,0,2021,1. MAJ,22,BABUŠNICA,Crna Gora
1,Veselić,Caka,2001-01-24,+38165391091,veselic.ra.1.2021@uns.ac.rs,1,B,RA,1,2021,MIRE ALEČKOVIĆ,67,VELIKA REMETA,Srbija
2,Kovrlija,Katarina,1998-05-01,+3816749564,kovrlija.ra.2.2021@uns.ac.rs,4,B,RA,2,2021,DARINKE BOROVIĆ,40,LjUBINIĆ,Bosna i Hercegovina
3,Zarubica,Đura,1994-07-21,+38169584327,zarubica.ra.3.2021@uns.ac.rs,1,S,RA,3,2021,MIJE ALEKSIĆA,30,DONjA VREŽINA,Srbija
4,Vilenica,Elena,2003-10-06,+38165343994,vilenica.ra.4.2021@uns.ac.rs,4,S,RA,4,2021,SVETOMIRA MARIĆA,59,DONjI LjUBEŠ,Srbija
5,Jelesijević,Fotije,1994-02-27,+38165121848,jelesijevic.ra.5.2021@uns.ac.rs,4,S,RA,5,2021,STAROVLAŠKA,88,ČAJETINA,Srbija
6,Otržan,Strahinja,2004-03-29,+38165826247,otrzan.ra.6.2021@uns.ac.rs,4,B,RA,6,2021,BOJANSKA,39,SKORICA,Bosna i Hercegovina
7,Putica,Ekatarina,1998-12-20,+38169233526,putica.ra.7.2021@uns.ac.rs,1,B,RA,7,2021,NjEGOŠEVA,20,LEBANE,Srbija
8,Viduljević,Želimirka,2001-07-19,+38162535541,viduljevic.ra.8.2021@uns.ac.rs,3,B,RA,8,2021,JORDANA STOJANOVIĆA,5,ČAPLjINAC,Bosna i Hercegovina
9,Roljević,Violeta,2004-06-24,+38161267718,roljevic.ra.9.2021@uns.ac.rs,2,S,RA,9,2021,KARAĐORĐEVA,1,RAKINAC,Srbija
10,Jocin,Đura,1994-03-09,+38161156705,jocin.ra.10.2021@uns.ac.rs,3,S,RA,10,2021,ČUČUŠKA,2,KLOKA,Bosna i Hercegovina
11,Milenović,Srpko,2000-09-24,+38161553412,milenovic.ra.11.2021@uns.ac.rs,4,S,RA,11,2021,IVE ANDRIĆA,25,BUNUŠKI ČIFLUK,Bosna i Hercegovina
12,Grnčarski,Adam,2000-07-25,+38168476604,grncarski.ra.12.2021@uns.ac.rs,1,B,RA,12,2021,GORANA RAIČEVIĆA,97,KOVIOCI,Crna Gora
13,Dobraš,Tanasije,1995-12-04,+38169865396,dobras.ra.13.2021@uns.ac.rs,3,S,RA,13,2021,VASE STAJIĆA,8,ADA,Bosna i Hercegovina
14,Milišić,Kosara,2004-12-05,+38163078887,milisic.ra.14.2021@uns.ac.rs,4,B,RA,14,2021,PARTIZANSKA,40,PIROT,Bosna i Hercegovina
15,Zavišin,Mirko,1999-07-23,+38164396128,zavisin.ra.15.2021@uns.ac.rs,4,S,RA,15,2021,FUTOŠKA,49,KOVAČEVAC,Crna Gora
16,Popmihajlov,Glorija,1996-02-17,+38168674154,popmihajlov.ra.16.2021@uns.ac.rs,1,B,RA,16,2021,BANjALUČKA,57,TEMERIN,Srbija
17,Kekić,Cviko,2004-05-23,+38169653668,kekic.ra.17.2021@uns.ac.rs,2,S,RA,17,2021,ČESTELINSKA,87,VRANjE,Srbija
18,Sečanski,Dobrašin,1998-09-08,+38169698207,secanski.ra.18.2021@uns.ac.rs,2,B,RA,18,2021,MILENTIJA POPOVIĆA,98,VRBAS,Srbija
19,Čičovački,Pajka,2004-03-13,+38164159397,cicovacki.ra.19.2021@uns.ac.rs,1,S,RA,19,2021,VODNIKA IVANA VASOJEVIĆA,57,HUM,Srbija
